geocohort,bids,impressions,clicks,spend
K0C1R0,39,32,0,0.373545
K0C1S0,48,43,0,0.504986
K0C1T0,83,75,0,0.872457
K0C1V0,405,335,0,3.858583
K0C1W0,3405,3029,0,35.216336
K0C1X0,16553,13552,15,157.197987
K0C1Y0,482,413,1,4.788059
K0C2A0,696,451,2,5.230134
K0C2B0,261,238,1,2.765177
K0C2E0,1173,938,1,10.877466
K0C2H0,1212,1003,3,11.713504
K0C2J0,1323,739,1,8.598841
K0C2K0,11070,8531,17,98.695257
K0E,12,14,0,0.165023
K0E1A0,373,290,0,3.38082
K0E1B0,5363,3786,4,43.941419
K0E1C0,160,140,0,1.629437
K0E1E0,11649,9468,8,109.845457
K0E1G0,701,481,0,5.585857
K0E1H0,130,111,1,1.288305
K0E1J0,99,88,0,1.024218
K0E1K0,11814,9081,14,105.332361
K0E1L0,8903,6795,6,78.834267
K0E1M0,5,4,0,0.046876
K0E1N0,855,713,3,8.313585
K0E1P0,894,708,0,8.213674
K0E1R0,3758,2558,2,29.706264
K0E1S0,3709,2532,5,29.332866
K0E1T0,1915,1344,1,15.704738
K0E1T1,162,141,0,1.651857
K0E1W0,1898,1535,2,17.772848
K0E1X0,32174,25761,54,298.972643
K0E1Y0,770,671,0,7.766886
K0G,9,9,0,0.106085
K0G1A0,2601,2107,2,24.28892
K0G1B0,24,20,1,0.234478
K0G1E0,4056,3438,11,39.942881
K0G1G0,41,41,0,0.477486
K0G1J0,2233,1560,2,18.210883
K0G1K0,38591,29507,55,342.966647
K0G1L0,334,259,0,3.020195
K0G1M0,1130,945,2,10.964298
K0G1N0,6039,4614,6,53.56559
K0G1R0,1280,1082,4,12.54509
K0G1S0,1068,761,1,8.892136
K0G1T0,512,448,1,5.178753
K0G1V0,3628,2701,0,31.399063
K0G1X0,456,406,4,4.672775
K0H,12,8,0,0.094298
K0H1B0,11244,8373,10,97.027539
K0H1C0,344,298,0,3.446622
K0H1G0,6443,4546,4,52.812464
K0H1H0,885,623,1,7.213332
K0H1J0,29,26,0,0.301273
K0H1K0,952,706,0,8.181369
K0H1L0,432,360,0,4.183406
K0H1M0,387,314,1,3.644108
K0H1P0,71,58,0,0.673299
K0H1S0,1087,1010,2,11.782119
K0H1T0,11638,8637,13,100.268308
K0H1V0,8053,6223,7,72.159556
K0H1W0,536,406,0,4.755586
K0H1X0,2350,1718,1,19.875762
K0H1Z0,183,171,0,1.98186
K0H2B0,5753,4433,5,51.288308
K0H2C0,25,23,0,0.265918
K0H2E0,12125,9667,19,112.094691
K0H2G0,381,279,1,3.237344
K0H2H0,74,57,0,0.662452
K0H2J0,92,63,0,0.730575
K0H2K0,894,808,0,9.354985
K0H2L0,4010,2950,4,34.289108
K0H2M0,97,62,0,0.719736
K0H2N0,741,652,1,7.577906
K0H2P0,3044,2492,10,28.900259
K0H2S0,116,96,1,1.110342
K0H2T0,6854,5456,7,63.251108
K0H2V0,303,212,0,2.459129
K0H2W0,12232,9709,11,112.375532
K0H2Y0,368,291,3,3.36306
K0J,2,2,0,0.023574
K0J1B0,5768,4645,8,53.806936
K0J1C0,382,306,2,3.576879
K0J1G0,19,17,0,0.197543
K0J1H0,3125,2428,5,28.159133
K0J1J0,859,635,0,7.395823
K0J1K0,330,270,0,3.155519
K0J1L0,1119,881,0,10.218694
K0J1N0,21,19,0,0.220997
K0J1P0,1002,713,0,8.311755
K0J1S0,2036,1823,0,21.077652
K0J1T0,4301,3241,3,37.688188
K0J1V0,68,60,0,0.705338
K0J1W0,197,158,1,1.841533
K0J1X0,5585,4619,6,53.650806
K0J1Y0,124,90,0,1.049867
K0J2A0,7713,5828,6,67.631976
K0J2E0,410,355,1,4.11801
K0J2J0,10988,8699,14,100.597658
K0J2L0,1,1,0,0.011493
K0J2N0,330,281,2,3.256873
K0J2R0,1155,918,2,10.606458
K0K,15,10,0,0.117872
K0K1A0,246,138,0,1.59513
K0K1C0,997,785,1,9.097822
K0K1G0,7770,5683,3,66.067155
K0K1H0,17965,14253,21,165.411209
K0K1J0,111,104,0,1.224663
K0K1K0,16,12,0,0.141467
K0K1L0,5401,4285,6,49.563296
K0K1M0,760,557,1,6.489817
K0K1N0,287,250,1,2.926116
K0K1P0,1177,821,1,9.521617
K0K1R0,263,210,0,2.446713
K0K1T0,405,323,0,3.751689
K0K1V0,564,517,0,5.977109
K0K1W0,983,841,3,9.762886
K0K1X0,10797,8254,10,95.717023
K0K1Y0,169,140,0,1.639
K0K1Z0,6897,5478,8,63.525602
K0K2A0,899,665,0,7.700009
K0K2B0,4427,3527,9,40.712034
K0K2C0,14188,11145,38,129.123197
K0K2G0,5079,3983,2,46.315202
K0K2H0,31,26,0,0.305373
K0K2J0,866,771,1,8.893488
K0K2K0,9295,7157,6,83.085636
K0K2M0,8321,6302,15,73.236668
K0K2N0,55,41,0,0.477846
K0K2P0,338,249,0,2.88403
K0K2S0,2894,2238,7,25.87485
K0K2T0,1023,800,2,9.362882
K0K2V0,43,33,0,0.388114
K0K2W0,168,142,0,1.646688
K0K2X0,5380,4170,3,48.183723
K0K2Y0,518,379,0,4.433663
K0K3A0,99,89,0,1.029567
K0K3C0,524,420,2,4.897711
K0K3E0,311,258,0,3.00366
K0K3G0,700,596,2,6.910666
K0K3H0,7515,5859,9,67.997469
K0K3J0,612,421,0,4.898682
K0K3K0,5590,4341,5,50.404235
K0K3L0,23,21,0,0.243339
K0K3M0,539,566,0,6.554529
K0K3N0,4405,3349,3,38.860467
K0L,12,9,0,0.106086
K0L1A0,58,48,0,0.55974
K0L1B0,2681,1947,2,22.612423
K0L1C0,23236,18573,13,215.633442
K0L1H0,532,406,0,4.705834
K0L1J0,7498,4830,9,56.02666
K0L1L0,21024,16106,27,186.817361
K0L1M0,523,454,0,5.336094
K0L1P0,1276,1011,0,11.750778
K0L1T0,17174,13430,15,155.684315
K0L1V0,151,142,0,1.653827
K0L1W0,2383,1774,6,20.621077
K0L1X0,1419,1223,1,14.19059
K0L1Y0,26227,22217,19,257.498864
K0L1Z0,14992,11743,22,136.403047
K0L2A0,125,89,0,1.048636
K0L2B0,137,88,0,1.017249
K0L2G0,5261,3873,3,44.812135
K0L2H0,22717,17532,23,203.461684
K0L2L0,149,126,0,1.467107
K0L2M0,74,58,0,0.672711
K0L2R0,450,290,0,3.368621
K0L2S0,4329,3391,13,39.317063
K0L2V0,9178,6979,9,81.124104
K0L2W0,678,527,0,6.149392
K0L2X0,68,62,0,0.722049
K0L2Y0,7401,5741,8,66.582146
K0L3A0,39,29,0,0.336692
K0L3B0,1249,926,4,10.711595
K0L3C0,69,64,0,0.750176
K0L3E0,198,161,0,1.875277
K0M,15,14,1,0.165023
K0M1A0,23903,18409,22,213.719822
K0M1C0,1961,1640,1,19.062861
K0M1G0,67,58,0,0.67737
K0M1J1,1032,688,2,8.012682
K0M1K0,5381,4224,4,49.035481
K0M1L0,296,239,0,2.774307
K0M1M0,2118,1552,0,17.99082
K0M1N0,21434,16473,25,191.139708
K0M1R0,2382,1854,6,21.50769
K0M1S0,21849,16690,31,193.920201
K0M2A0,3464,2819,1,32.585906
K0M2A1,12,10,0,0.117339
K0M2B0,3946,3312,4,38.402592
K0M2C0,966,622,0,7.232635
K0M2J0,59,51,0,0.593848
K0M2K0,18469,13814,13,160.400535
K0M2L0,1016,711,0,8.218379
K0M2L1,209,131,0,1.512679
K0M2M0,38,35,0,0.406437
K0M2S0,103,104,0,1.20621
K0M2T0,1137,949,1,11.046326
K1B,6,3,0,0.035362
K1B1E1,5,4,0,0.048103
K1B3K9,2,2,0,0.023075
K1B3N7,2,2,0,0.023961
K1B3N8,2,2,0,0.023259
K1B3P9,1,1,0,0.012005
K1B3Z2,2,3,0,0.035204
K1B3Z6,9,9,0,0.106071
K1B4G4,1,1,0,0.012
K1B4H3,9,7,0,0.081558
K1B4H8,1,1,0,0.011487
K1B4J7,1,1,0,0.011791
K1B4K3,5,1,0,0.01149
K1B4P3,19,16,0,0.183534
K1B4P6,2,2,0,0.023053
K1B4V2,2,2,0,0.023444
K1B4W1,2,1,0,0.012
K1B4W2,4,5,0,0.058366
K1B4W9,100,100,0,1.164188
K1B5A8,9,10,0,0.115722
K1B5C1,1,1,0,0.011573
K1B5C3,10,11,0,0.128142
K1B5G1,1,1,0,0.011519
K1B5G5,2,1,0,0.011993
K1B5H2,3,3,0,0.034861
K1B5H6,16,15,0,0.172538
K1B5J4,23,22,0,0.255832
K1B5J7,4,5,0,0.05848
K1B5K3,1,1,0,0.01158
K1B5M5,1,1,0,0.012002
K1B5P7,3,3,0,0.035075
K1C,24,14,0,0.165024
K1C0A4,2,2,0,0.022877
K1C1M8,3,3,0,0.034826
K1C1R4,7,5,0,0.058876
K1C1R5,2,2,0,0.023473
K1C1S2,1,1,0,0.011653
K1C1V2,3,3,0,0.034949
K1C1W4,1,1,0,0.011993
K1C1Y5,1,1,0,0.012006
K1C1Y7,3,3,0,0.035022
K1C1Z8,1,1,0,0.011581
K1C2A6,4,4,0,0.047592
K1C2B4,1,1,0,0.011735
K1C2C6,13,13,0,0.151764
K1C2G4,9,6,0,0.068596
K1C2H3,3,3,0,0.035557
K1C2J6,1,1,0,0.011539
K1C2J7,23,19,0,0.221349
K1C2M7,24,24,0,0.276321
K1C2M8,43,35,0,0.407179
K1C2M9,6,5,0,0.05828
K1C2N3,129,145,0,1.706322
K1C2N9,4,4,0,0.045671
K1C2P1,6,6,0,0.070437
K1C2P8,6,6,0,0.070524
K1C2P9,4,4,0,0.046042
K1C2R2,2,2,0,0.023308
K1C2S8,4,3,0,0.034821
K1C2T2,3,3,0,0.034481
K1C2T4,9,9,0,0.10521
K1C2T5,49,44,0,0.522732
K1C2T8,20,20,0,0.235184
K1C2W2,3,2,0,0.023813
K1C2W6,1,1,0,0.011795
K1C2W8,6,6,0,0.071433
K1C2Y5,7,7,0,0.082364
K1C2Z3,3,2,0,0.024006
K1C3C4,1,1,0,0.011706
K1C3E9,2,2,0,0.023561
K1C3G1,1,1,0,0.011346
K1C3G3,1,1,0,0.012002
K1C3G6,6,6,0,0.070401
K1C3J3,3,3,0,0.034488
K1C3J9,4,4,0,0.047587
K1C3K2,4,4,0,0.046511
K1C4V1,11,11,0,0.128035
K1C4W9,1,1,0,0.011502
K1C4Y8,1,1,0,0.011614
K1C4Z3,2,2,0,0.023358
K1C4Z5,4,4,0,0.046261
K1C4Z9,3,3,0,0.03551
K1C5A7,3,3,0,0.034559
K1C5B2,1,1,0,0.012002
K1C5C3,1,1,0,0.011658
K1C5C6,4,4,0,0.046939
K1C5C8,18,18,0,0.209588
K1C5C9,7,7,0,0.079682
K1C5E1,2,1,0,0.012
K1C5E2,9,9,0,0.106428
K1C5E9,2,2,0,0.023181
K1C5G5,1,1,0,0.011346
K1C5G7,6,6,0,0.070569
K1C5G8,9,9,0,0.107767
K1C5J1,6,6,0,0.070468
K1C5K2,2,2,0,0.023021
K1C5L2,1,1,0,0.011533
K1C5L6,9,7,0,0.080896
K1C5R5,1,1,0,0.012012
K1C5S7,13,12,0,0.143248
K1C5V3,1,1,0,0.011569
K1C5W4,4,4,0,0.046292
K1C5W8,5,5,0,0.058205
K1C5X6,5,5,0,0.058034
K1C5X9,1,1,0,0.01198
K1C5Y1,3,3,0,0.034909
K1C5Y6,2,2,0,0.023759
K1C6B3,3,3,0,0.034341
K1C6C3,2,2,0,0.022922
K1C6C8,1,1,0,0.011502
K1C6G5,4,4,0,0.046018
K1C6G9,12,10,0,0.115759
K1C6H3,18,18,0,0.210842
K1C6H4,2,2,0,0.023197
K1C6H8,28,23,0,0.272229
K1C6J6,1,1,0,0.011536
K1C6J9,1,1,0,0.011451
K1C6K1,12,7,0,0.081893
K1C6K9,3,3,0,0.034534
K1C6L1,7,8,0,0.091408
K1C6L6,1,1,0,0.011993
K1C6L7,1,1,0,0.011588
K1C6L9,2,2,0,0.023206
K1C6M1,4,4,0,0.047092
K1C6N5,1,1,0,0.011346
K1C6P5,5,5,0,0.057342
K1C6S2,2,2,0,0.023076
K1C6W2,1,1,0,0.011584
K1C6W5,13,13,0,0.149799
K1C6W9,6,5,0,0.057645
K1C6Z6,4,4,0,0.046568
K1C6Z7,4,3,0,0.03482
K1C7A3,1,1,0,0.011498
K1C7A8,14,14,0,0.164345
K1C7A9,3,3,0,0.035
K1C7B4,4,4,0,0.046471
K1C7B5,22,25,0,0.289916
K1C7B7,7,6,0,0.071547
K1C7B8,15,15,0,0.173463
K1C7C1,3,3,0,0.035735
K1C7E3,2,2,0,0.023388
K1C7H7,4,4,0,0.047673
K1C7K4,6,6,0,0.070542
K1C7K6,11,10,0,0.117687
K1C7K7,5,5,0,0.05822
K1C7L4,18,14,0,0.161947
K1C7M1,1,1,0,0.011647
K1C7P4,15,10,0,0.114871
K1C7R2,2,2,0,0.023014
K1C7R3,5,5,0,0.057965
K1C7R5,4,4,0,0.047151
K1C7R6,3,3,0,0.03459
K1C7R7,1,1,0,0.011487
K1C7R9,1,1,0,0.011791
K1C7S2,12,12,0,0.13975
K1C8E1,3,3,0,0.03568
K1C8E2,1,1,0,0.011502
K1E1A3,2,2,0,0.02357
K1E1A6,1,1,0,0.011493
K1E1K2,22,22,0,0.253277
K1E1K3,13,12,0,0.141225
K1E1S5,4,4,0,0.046393
K1E2A4,3,3,0,0.034532
K1E2B1,1,1,0,0.011588
K1E2C1,6,6,0,0.069474
K1E2C3,1,1,0,0.011346
K1E2C7,2,1,0,0.011461
K1E2J2,1,1,0,0.012
K1E2J4,2,2,0,0.023106
K1E2J7,3,3,0,0.035804
K1E2J9,3,3,0,0.034962
K1E2L8,11,2,0,0.023512
K1E2M8,1,1,0,0.011534
K1E2M9,81,69,0,0.792649
K1E2P8,17,13,0,0.152836
K1E2R2,4,4,0,0.046305
K1E2R3,3,3,0,0.035043
K1E2R5,3,3,0,0.034506
K1E2R7,9,8,0,0.094745
K1E2T1,621,406,0,4.71463
K1E2T4,3,2,0,0.022972
K1E2T5,11,11,0,0.127539
K1E2T7,1,1,0,0.012004
K1E2T8,3,2,0,0.023698
K1E2W3,45,37,0,0.437266
K1E2W7,2,2,0,0.023558
K1E2W8,4,3,0,0.034704
K1E2Y3,2,2,0,0.02299
K1E2Y4,300,245,0,2.909539
K1E2Y5,14,14,0,0.162417
K1E2Z2,1,1,0,0.011698
K1E2Z3,1,1,0,0.01149
K1E2Z5,9,8,0,0.094122
K1E3G6,2,1,0,0.011451
K1E3G9,6,6,0,0.068805
K1E3J7,2,2,0,0.023388
K1E3K1,8,6,0,0.069167
K1E3K6,7,8,0,0.092339
K1E3M5,3,3,0,0.036047
K1E3P5,12,14,0,0.163145
K1E3P9,1,1,0,0.01158
K1E3R4,1,1,0,0.011588
K1E3R6,18,12,0,0.138761
K1E3T8,7,6,0,0.071577
K1E3T9,3,3,0,0.035081
K1E3V1,3,3,0,0.034757
K1E3V9,31,28,0,0.32761
K1E3X3,4,4,0,0.046332
K1E3X4,2,2,0,0.023532
K1G,21,14,0,0.165023
K1G0B1,12,11,0,0.12973
K1G0E2,1,1,0,0.011588
K1G0E5,26,24,0,0.28256
K1G0H4,2,2,0,0.023146
K1G0N1,32,31,0,0.360171
K1G0V1,6,4,0,0.046191
K1G1B8,8,6,0,0.069128
K1G1E2,3,3,0,0.035709
K1G1G2,1,2,0,0.022692
K1G1J2,2,2,0,0.023289
K1G1L6,9,9,0,0.105196
K1G2G3,9,9,0,0.105481
K1G2W1,61,50,0,0.587985
K1G3G5,7,7,0,0.084177
K1G3T6,18,16,0,0.185048
K1G4C7,2,2,0,0.022812
K1G4C9,1,1,0,0.011797
K1G4L8,1,1,0,0.011735
K1G4P8,5,4,0,0.046252
K1G4X5,7,5,0,0.059585
K1G4Y8,2,2,0,0.023787
K1G5C7,2,1,0,0.012016
K1G5J7,13,10,0,0.116808
K1G5J8,32,30,0,0.347339
K1G5K3,58,39,0,0.453517
K1G5K5,23,22,0,0.256562
K1G5N6,9,7,0,0.08261
K1G5P3,3,2,0,0.023081
K1G5R1,5,3,0,0.035522
K1G5R5,42,31,0,0.366143
K1G5S4,3,3,0,0.034458
K1G5S8,9,8,0,0.092618
K1G5S9,4,4,0,0.046281
K1G5T1,18,15,0,0.173651
K1G5V1,9,5,0,0.058922
K1G5W1,9,7,0,0.082113
K1G5X3,8,4,0,0.04623
K1G6A5,12,12,0,0.138609
K1G6A6,13,12,0,0.138357
K1G6G7,2,2,0,0.023155
K1G6M4,3,3,0,0.034588
K1G6N6,26,25,0,0.291082
K1G6N7,2,2,0,0.023021
K1G6R4,5,5,0,0.0596
K1G6R5,7,6,0,0.071122
K1G6R6,12,12,0,0.142321
K1G6T3,14,11,0,0.123727
K1G6W2,1,1,0,0.011451
K1H,5,4,0,0.047149
K1H0A1,18,13,0,0.151568
K1H5A2,1,1,0,0.011732
K1H5N7,1,1,0,0.011797
K1H5N8,3,3,0,0.034455
K1H5N9,11,10,0,0.116224
K1H5P6,6,5,0,0.058092
K1H5V6,3,3,0,0.034707
K1H5Y3,1,1,0,0.011524
K1H6P3,1,1,0,0.01157
K1H6T9,3,3,0,0.035065
K1H6X4,2,2,0,0.02359
K1H6Y8,4,2,0,0.023773
K1H7A3,3,4,0,0.046907
K1H7A7,1,1,0,0.011524
K1H7G4,1,1,0,0.011998
K1H8B1,4,4,0,0.045936
K1H8B4,6,6,0,0.070395
K1H8B5,1,1,0,0.011725
K1H8E4,6,5,0,0.056939
K1H8J2,1,1,0,0.011576
K1J,17,12,0,0.141448
K1J0A6,3,3,0,0.035886
K1J0A9,4,2,0,0.022692
K1J1A8,1,1,0,0.011655
K1J1B6,1,1,0,0.011786
K1J1C1,3,3,0,0.034631
K1J1C2,12,11,0,0.128629
K1J1C3,4,4,0,0.047021
K1J1C5,1,1,0,0.011496
K1J1E5,2,2,0,0.023219
K1J1E7,6,5,0,0.059196
K1J1E8,2,2,0,0.023054
K1J1G3,5,5,0,0.057994
K1J1J1,1,1,0,0.011998
K1J6A7,14,8,0,0.091343
K1J6A9,4,3,0,0.034529
K1J6B2,2,2,0,0.022874
K1J6B5,2,2,0,0.023528
K1J6E8,5,5,0,0.058204
K1J6G4,14,10,0,0.11593
K1J6G7,10,10,0,0.116183
K1J6J3,1,1,0,0.012012
K1J6L3,1,1,0,0.012016
K1J6T5,2,2,0,0.023018
K1J6W1,31,31,0,0.3557
K1J7E5,32,32,0,0.379086
K1J7N6,1,1,0,0.012
K1J7X8,12,11,0,0.129258
K1J7Z5,5,4,0,0.046097
K1J8C3,81,93,0,1.080833
K1J8H5,6,5,0,0.057881
K1J8J1,24,22,0,0.255858
K1J8K3,14,13,0,0.150682
K1J8N1,11,11,0,0.128449
K1J8N2,26,26,0,0.29981
K1J8N3,184,174,1,2.003763
K1J8N4,6,5,0,0.057722
K1J8P8,74,66,0,0.765323
K1J8R3,26,19,0,0.223493
K1J8T3,3,2,0,0.023594
K1J8V3,10,10,0,0.116823
K1J9A2,1,1,0,0.011988
K1J9A8,1,1,0,0.011658
K1K,12,8,0,0.094299
K1K0E9,8,6,0,0.072295
K1K1M9,3,3,0,0.034631
K1K1N1,1,1,0,0.011509
K1K1R3,2,1,0,0.011555
K1K1T9,20,18,0,0.207866
K1K1Z6,2,2,0,0.022944
K1K1Z7,4,4,0,0.046394
K1K1Z9,4,4,0,0.046157
K1K2T9,9,10,0,0.116204
K1K3G9,4,3,0,0.035341
K1K3W1,2,2,0,0.023252
K1K3Y5,2,2,0,0.023209
K1K3Z1,3,2,0,0.023153
K1K3Z6,1,1,0,0.012
K1K4B2,7,7,0,0.083562
K1K4H9,1,1,0,0.011696
K1K4J9,12,12,0,0.13827
K1K4L6,3,3,0,0.034896
K1K4N8,1,2,0,0.02345
K1K4N9,8,6,0,0.070234
K1K4R1,2,2,0,0.022921
K1K4S1,1,1,0,0.011795
K1K4T6,19,14,0,0.162259
K1K4V3,32,27,0,0.313938
K1K4V5,2,2,0,0.022986
K1K4V6,2,2,0,0.023064
K1K4X3,22,14,0,0.161238
K1L,1,1,0,0.011787
K1L5L2,2,2,0,0.0233
K1L5L7,2,2,0,0.023344
K1L5M8,1,1,0,0.011962
K1L5X7,1,2,0,0.024023
K1L6P1,7,7,0,0.081053
K1L6T1,2,1,0,0.011461
K1M,7,6,0,0.070723
K1M1E6,18,16,0,0.185409
K1M2B7,1,1,0,0.011631
K1N,10,7,0,0.082511
K1N0B1,1,1,0,0.011735
K1N0B7,12,14,0,0.162407
K1N1K2,6,6,0,0.069109
K1N5K2,3,3,0,0.035382
K1N5K3,1,1,0,0.011553
K1N5P9,4,4,0,0.047633
K1N5T4,1,1,0,0.012006
K1N5V4,6,5,0,0.058256
K1N6B1,26,24,0,0.279788
K1N6K4,13,12,0,0.139329
K1N6L8,40,36,0,0.43182
K1N7M1,3,3,0,0.035078
K1N7S5,1,1,0,0.011502
K1N7X6,18,10,0,0.115822
K1N8G1,1,1,0,0.011797
K1N8J8,1,1,0,0.012
K1N9M9,3,3,0,0.034862
K1R,5,4,0,0.04715
K1R0A8,12,12,0,0.139671
K1R1B8,1,1,0,0.011653
K1R5G2,21,20,0,0.236163
